time_hours,time_minutes,ZT,Larinioides,Agelenopsis,Steatoda
0,0,0,0.08054298642533936,0.425249169435216,0.03533026113671275
0,1,1,0.4943762120232709,0.3704318936877076,0.17665130568356377
0,2,2,0.6396897220426632,0.3131229235880399,0.5599078341013825
0,3,3,0.8298642533936652,0.2915282392026578,0.7250384024577575
0,4,4,0.7595345830639948,0.6013289036544851,0.5568356374807988
0,5,5,0.6118939883645765,0.6245847176079734,0.6205837173579108
0,6,6,0.6739495798319328,0.7142857142857143,0.6612903225806451
0,7,7,0.438655462184874,0.5631229235880398,0.5161290322580644
0,8,8,0.362120232708468,0.4892026578073089,0.6328725038402458
0,9,9,0.3296703296703296,0.5215946843853821,0.5376344086021506
0,10,10,0.31144149967679374,0.7516611295681063,0.44623655913978494
0,11,11,0.21396250808015513,0.53156146179402,0.42473118279569894
0,12,12,0.32773109243697485,0.47342192691029894,0.46236559139784944
0,13,13,0.33173884938590814,0.3397009966777409,0.456989247311828
0,14,14,0.3498383968972204,0.36627906976744184,0.4139784946236559
0,15,15,0.2708468002585649,0.23255813953488372,0.26881720430107525
0,16,16,0.32695539754363284,0.3064784053156146,0.22580645161290322
0,17,17,0.24667097608274077,0.2782392026578073,0.20430107526881722
0,18,18,0.3767291531997414,0.3048172757475083,0.07526881720430106
0,19,19,0.32449903038138334,0.45348837209302323,0.08602150537634408
0,20,20,0.23581124757595343,0.2591362126245847,0.2811059907834101
0,21,21,0.20452488687782805,0.16029900332225913,0.48387096774193544
0,22,22,0.26360698125404003,0.19435215946843856,0.456989247311828
0,23,23,0.19237233354880415,0.5249169435215947,0.2411674347158218
0,24,24,0.24292178409825468,0.32973421926910296,0.29569892473118276
0,25,25,0.07950872656755009,0.3397009966777409,0.42242703533026116
0,26,26,0.1048480930833872,0.4892026578073089,0.4838709677419355
0,27,27,0.15281189398836456,0.46262458471760803,0.5499231950844855
0,28,28,0.11829347123464769,0.49750830564784054,0.3494623655913978
0,29,29,0.12605042016806722,0.3654485049833887,0.44086021505376344
0,30,30,0.17569489334195218,0.5224252491694352,0.3817204301075269
0,31,31,0.10420168067226891,0.451827242524917,0.37096774193548393
0,32,32,0.0394311570782159,0.48421926910299007,0.27419354838709675
0,33,33,0.06024563671622495,0.5564784053156145,0.2150537634408602
0,34,34,0.13186813186813184,0.5091362126245847,0.2903225806451613
0,35,35,0.13173884938590819,0.5406976744186046,0.25806451612903225
0,36,36,0.10497737556561086,0.5307308970099668,0.2726574500768049
0,37,37,0.09360051712992891,0.46511627906976744,0.25268817204301075
0,38,38,0.09877181641887525,0.5539867109634551,0.20967741935483872
0,39,39,0.12540400775694893,0.356312292358804,0.2903225806451613
0,40,40,0.10471881060116355,0.29900332225913623,0.31182795698924737
0,41,41,0.14802844214608918,0.20764119601328904,0.2849462365591398
0,42,42,0.05235940530058177,0.4028239202657807,0.25268817204301075
0,43,43,0.03619909502262443,0.47757475083056483,0.24731182795698925
0,44,44,0.08817065287653524,0.3862126245847176,0.25268817204301075
0,45,45,0.05753070458952813,0.29817275747508304,0.24731182795698922
0,46,46,0.033354880413703936,0.563953488372093,0.13978494623655915
0,47,47,0.10859728506787332,0.20099667774086377,0.04301075268817204
0,48,48,0.030252100840336135,0.4485049833887043,0.28494623655913975
0,49,49,0.07756948933419523,0.3696013289036545,0.20967741935483872
0,50,50,0.11221719457013572,0.4011627906976744,0.22580645161290322
0,51,51,0.05546218487394958,0.20016611295681064,0.2849462365591398
0,52,52,0.05184227537168714,0.3039867109634551,0.08602150537634409
0,53,53,0.033872010342598576,0.45016611295681064,0.2043010752688172
0,54,54,0.019263089851325146,0.5755813953488372,0.20814132104454683
0,55,55,0.02391725921137686,0.3970099667774087,0.11827956989247312
0,56,56,0.04576599870717518,0.4759136212624585,0.13440860215053765
0,57,57,0.027278603749191985,0.45265780730897015,0.016129032258064516
0,58,58,0.03968972204266322,0.4485049833887043,0.04838709677419355
0,59,59,0.037104072398190045,0.5,0.03763440860215054
1,0,60,0.0566257272139625,0.5174418604651163,0.016129032258064516
1,1,61,0.03800904977375566,0.3064784053156146,0.05376344086021505
1,2,62,0.09515190691661281,0.22425249169435219,0.026881720430107524
1,3,63,0.050161603102779576,0.25498338870431897,0.1228878648233487
1,4,64,0.07912087912087912,0.2292358803986711,0.08602150537634408
1,5,65,0.09023917259211378,0.23671096345514955,0.12365591397849461
1,6,66,0.1008403361344538,0.1287375415282392,0.014592933947772656
1,7,67,0.10691661279896573,0.23754152823920263,0.06758832565284177
1,8,68,0.03632837750484809,0.15780730897009967,0.06374807987711213
1,9,69,0.017194570135746608,0.04983388704318937,0.05837173579109063
1,10,70,0.03968972204266322,0.0946843853820598,0.04685099846390169
1,11,71,0.07136393018745961,0.07641196013289037,0.05913978494623656
1,12,72,0.0982546864899806,0.15697674418604654,0.043010752688172046
1,13,73,0.043697478991596636,0.1835548172757475,0.04838709677419355
1,14,74,0.05313510019392372,0.18272425249169436,0.16666666666666669
1,15,75,0.0882999353587589,0.15780730897009967,0.11827956989247312
1,16,76,0.03309631544925662,0.1536544850498339,0.059139784946236555
1,17,77,0.06425339366515836,0.24501661129568103,0.10215053763440861
1,18,78,0.07213962508080154,0.2259136212624585,0.10752688172043011
1,19,79,0.0995475113122172,0.3787375415282392,0.13440860215053763
1,20,80,0.014996767937944409,0.23089700996677737,0.07526881720430106
1,21,81,0.002197802197802198,0.19684385382059802,0.15053763440860213
1,22,82,0.008274078862314157,0.23006644518272423,0.07526881720430108
1,23,83,0.061150614091790574,0.15282392026578073,0.08602150537634409
1,24,84,0.011764705882352941,0.24003322259136212,0.06989247311827958
1,25,85,0.013962508080155138,0.19269102990033224,0.1075268817204301
1,26,86,0.015126050420168067,0.16943521594684388,0.12903225806451613
1,27,87,0.002197802197802198,0.19352159468438537,0.1881720430107527
1,28,88,0.0,0.37790697674418605,0.20430107526881722
1,29,89,0.0,0.4061461794019934,0.1935483870967742
1,30,90,0.008403361344537815,0.29318936877076407,0.04301075268817204
1,31,91,0.015126050420168067,0.34800664451827246,0.10752688172043011
1,32,92,0.0038784744667097614,0.21594684385382057,0.026881720430107527
1,33,93,0.0,0.3737541528239202,0.0391705069124424
1,34,94,0.006593406593406593,0.3471760797342192,0.09370199692780336
1,35,95,0.025210084033613446,0.17940199335548174,0.03609831029185868
1,36,96,0.015126050420168067,0.3181063122923588,0.016129032258064516
1,37,97,0.05817711700064641,0.27906976744186046,0.02150537634408602
1,38,98,0.030252100840336135,0.21594684385382062,0.06451612903225806
1,39,99,0.018487394957983194,0.2807308970099668,0.09677419354838708
1,40,100,0.029088558500323203,0.159468438538206,0.01075268817204301
1,41,101,0.006722689075630252,0.03654485049833887,0.016129032258064516
1,42,102,0.008274078862314157,0.07225913621262457,0.13440860215053765
1,43,103,0.005559146735617324,0.06229235880398671,0.026881720430107527
1,44,104,0.005559146735617324,0.07890365448504984,0.0
1,45,105,0.004395604395604396,0.058970099667774084,0.04838709677419355
1,46,106,0.003361344537815126,0.11544850498338868,0.04301075268817204
1,47,107,0.03296703296703296,0.09302325581395347,0.0
1,48,108,0.0,0.20265780730897012,0.1881720430107527
1,49,109,0.004395604395604396,0.24169435215946844,0.06451612903225806
1,50,110,0.01900452488687783,0.14617940199335547,0.18279569892473116
1,51,111,0.0178409825468649,0.21096345514950166,0.1989247311827957
1,52,112,0.002197802197802198,0.13704318936877075,0.03763440860215054
1,53,113,0.035164835164835165,0.2591362126245847,0.15053763440860216
1,54,114,0.008791208791208791,0.18604651162790697,0.0
1,55,115,0.0,0.14784053156146182,0.0
1,56,116,0.001680672268907563,0.15365448504983387,0.11136712749615975
1,57,117,0.027925016160310272,0.25083056478405313,0.06451612903225806
1,58,118,0.03749191984486102,0.22093023255813954,0.1021505376344086
1,59,119,0.054945054945054944,0.2782392026578073,0.15591397849462366
2,0,120,0.05869424692954104,0.18604651162790697,0.11290322580645161
2,1,121,0.040336134453781515,0.10797342192691028,0.016129032258064516
2,2,122,0.013445378151260503,0.23089700996677742,0.04301075268817204
2,3,123,0.008403361344537815,0.16777408637873756,0.02150537634408602
2,4,124,0.04279250161603103,0.1644518272425249,0.01075268817204301
2,5,125,0.025210084033613446,0.050664451827242524,0.07219662058371736
2,6,126,0.008403361344537815,0.14784053156146182,0.07296466973886329
2,7,127,0.001680672268907563,0.27574750830564787,0.07757296466973887
2,8,128,0.002197802197802198,0.2192691029900332,0.07450076804915513
2,9,129,0.005042016806722689,0.2749169435215947,0.10291858678955454
2,10,130,0.002197802197802198,0.16279069767441862,0.1021505376344086
2,11,131,0.011118293471234648,0.2200996677740864,0.19892473118279572
2,12,132,0.0,0.29900332225913623,0.10829493087557604
2,13,133,0.0,0.18272425249169436,0.053763440860215055
