spider_id,period_hr,period_p_value,mean_phase_ZT,vector_strength,is_significant,is_entrained,total_activity
SgA3,23.71989973,0.210925436,14.039689755817186,0.4228395705358008,False,True,782
SgA4,24.61146069,2.87e-06,13.245305556347294,0.4420925836216733,True,True,1012
SgA5,23.71989973,5.42e-96,14.031071525152363,0.628323114406218,True,True,2264
SgA7,25.4307759,1.0,6.355989203163459,0.6702050581456245,False,False,345
SgA9,30.30726315,1.74e-15,12.483066944671789,0.26572322505936224,True,False,1497
SgA10,24.87863625,0.049139123,10.95856148440715,0.4011852894773199,True,True,867
SgA11,23.59777974,8.29e-85,14.172108147198962,0.49585993531714434,True,True,2637
SgA12,23.84329025,3e-148,13.351178668712032,0.5185191300930965,True,True,3441
SgA13,24.22128643,1.08e-16,12.705483527036304,0.35003722336469784,True,True,1930
SgA14,16.89866928,0.006181637,5.562725668428591,0.1955420551924083,True,False,1055
SgA15,25.29045607,1.0,6.753893106961488,0.42267426250204365,False,False,543
SgA16,23.84329025,0.021237918,12.497828624135774,0.3177786020164437,True,True,1202
SgA17,23.71989973,3.68e-143,13.311308523894697,0.6386798239631758,True,True,2732
SgA18,23.96797124,2.62e-34,15.755002031456382,0.47893737654288493,True,True,1790
SgA19,24.61146069,4.2799999999999995e-46,13.401875507092853,0.5230004065470598,True,True,1916
SgA21,25.01441119,0.527901295,11.259596343364883,0.4536078603316184,False,True,685
SgA22,20.62462209,2.95e-98,10.13614527901891,0.2978525239748824,True,False,2894
SgA25,16.65307976,0.000550063,14.463431858751914,0.2462904493384653,True,False,1470
SgB1,24.40677966,8.23e-91,0.384532734237347,0.7863892225055745,True,True,1736
SgB2,19.37219731,0.978382439,7.1986364477012525,0.34321054562374786,False,False,695
SgB3,21.81818182,0.583984671,8.584354250814146,0.36472237152913073,False,False,725
SgB4,19.81651376,1.0,12.354419890099896,0.35703177159006355,False,False,325
SgB5,24.0,1.19e-08,11.653615389890268,0.9248290442207554,True,True,550
SgB6,17.70491803,2.7400000000000004e-123,0.03928877476409594,0.39869424324915465,True,False,2007
SgB11,24.40677966,0.012041201,10.102787837767846,0.56649912456279,True,True,634
SgB12,24.40677966,1.89e-12,9.596018369375292,0.7079521017863383,True,True,798
SgB13,23.54903839,0.00070029,13.089203606200911,0.530774523801407,True,True,766
SgB17,21.80121427,1.0,0.6161432144748255,0.4067107869708986,False,False,205
SgB20,18.76924884,2.6e-13,8.499627259765935,0.16620961064113826,True,False,1030
SgB22,28.20439502,2.12e-11,12.660672387345311,0.34561554199943856,True,False,1288
SgB23,20.80218707,1.0,10.052990794134377,0.5410383741940921,False,False,264
